"measurement_id","landcover_map_year","longitude","latitude","crop_type","country_new","mean_yield_control_kgha","mean_yield_treatment_kgha","yield_SD_control","yield_SD_treatment"
6243,1985,-77.68,35.894,"Maize","United States of America",7340,7535.38461538462,NA,NA
4970,1985,146.683333333333,-36.3666666666667,"Grassland","Australia",5322.22222222222,6134.44444444444,7983.17605968953,5842.40532657569
7871,1985,-117.42,47.65,"Cereals","United States of America",4900,4500,220,290
8199,1985,-121.75,36.92,"Fruit","United States of America",36800,45400,4100,9200
4014,1985,146,-36,"Upland Arable Land","Australia",1581,2236.25,2944.01086954515,2637.00587788499
8421,1990,-81.23,42.99,"Pulses","Canada",8190,7400,1900,760
4930,1990,115.666666666667,23.5,"Upland Arable Land","China",2100,2370,1140,805.791536316931
10471,1990,-99.614065,33.446744,"Cotton-Vetch","United States of America",1012,906,135.099963,277.1281292
10473,1990,-99.614065,33.446744,"Cotton-Sorghum","United States of America",1012,931.333333333333,234.000000016675,521.470996338163
8101,1990,-122.19,37.01,"Fruit","United States of America",2080,1400,1069.67284707109,820.853214993754
5379,1995,-86.885,34.688,"Maize","United States of America",8766.66666666667,8800,NA,NA
4214,1995,-49.8333333333333,-15.8166666666667,"Upland Arable Land","Brazil",2586.66666666667,3415,1751.1139311878,1452.8248345895
2347,1995,108.134448,34.267063,"Maize","China",7569.5333335,7805.475,24.6968007229546,18.5481130145411
2656,1995,114.212071,36.662804,"Oilcrops","China",4882.9,5104.65,50.5727144774274,58.1179923759987
8381,1995,-95.53,44.42,"Cereals","United States of America",6530.83333333333,5273.33333333333,5868.0405588237,5785.06698319043
10414,2000,39.815556,10.855556,"Sorghum-Sesame","Ethiopia",2444.3,2377.3,427,347.8
7869,2000,-89.35,43.3,"Oil Crops","United States of America",52576.666665,47613.333335,13821.456752826,16502.7905303225
10370,2000,37.316667,12.417778,"Maize-Mustard","Ethiopia",2130.6,1831.05,842.232553158568,2037.91619337008
7567,2000,112.1247294,28.53479782,"Rice","China",42250,41330,NA,NA
6897,2000,109.77,22.29,"Rice","China",58130,59025,NA,NA
1953,2001,116.92903,38.936,"Wheat","China",4415.5,4829,24.3154742493476,22.5625979252779
7323,2001,118.9737176,30.97674986,"Rice","China",93780,98360,NA,NA
7534,2001,106.3651631,29.8766715,"Rice","China",88845,89100,NA,NA
10356,2001,34.433333,0.283333,"Maize","Kenya",2200,4700,894.427191,894.427191
7056,2001,103.65,30.61,"Rice","China",70000,67910,NA,NA
6456,2002,111.52,26.45,"Rice","China",52900,55866.6666666667,NA,NA
7276,2002,110.448359,25.19084,"Rice","China",87840,90510,NA,NA
7277,2002,110.4291661,19.96685487,"Rice","China",74800,82260,NA,NA
7139,2002,107.99,30.24,"Rice","China",76380,74380,NA,NA
7522,2002,120.8453606,32.57040548,"Rice","China",65640,65960,NA,NA
7256,2003,106.2360407,38.08311183,"Rice","China",95670,97400,NA,NA
2535,2003,111.29612,41.19532,"Tubercrop","China",14597.5,14637.5,232.487146160698,269.735136445912
6648,2003,115.92,28.36,"Rice","China",44200,28355.5,NA,NA
7356,2003,114.3238836,29.8406625,"Rice","China",72730,79640,NA,NA
6368,2003,114.0526523,32.13643567,"Rice","China",80200,84850,NA,NA
6733,2004,115.43,27.73,"Rice","China",61160,62310,NA,NA
6515,2004,103.99,31.02,"Rice","China",72450,70800,NA,NA
4190,2004,40.4833333333333,9.13333333333333,"Upland Arable Land","Ethiopia",3559.16666666667,4158.33333333333,4948.87866086854,3324.36460094256
6571,2004,112.7,28.03,"Rice","China",80426,78000,NA,NA
8283,2004,95.32,44.25,"Oil Crops","China",2751.25,2092.5,395.308423434081,360.052079507399
6460,2005,115.45,27.74,"Rice","China",55425,66940,NA,NA
8292,2005,14.97,40.61,"Cereals","Italy",3320,2620,620,640
7312,2005,118.514978,31.278326,"Rice","China",80040,89215,NA,NA
6338,2005,120.7647328,28.71066621,"Rice","China",56190,60920,NA,NA
7474,2005,127.5203589,46.88723297,"Rice","China",79650,94500,NA,NA
6350,2006,119.6140493,28.68783181,"Rice","China",92738,96225,NA,NA
6791,2006,132.58,47.22,"Rice","China",85250,88905,NA,NA
7591,2006,116.0869218,28.32898796,"Rice","China",81420,81230,NA,NA
5564,2006,27.43,-16.24,"Maize","Zambia",4416.07692307692,5513.61538461538,NA,NA
5672,2006,34.98,-14.96,"Maize","Malawi",3008.85714285714,4150.42857142857,NA,NA
1649,2007,114.518979,34.579356,"Wheat","China",4319.5,4691.7,145.307026423735,127.327963487345
7532,2007,106.3676093,29.87771343,"Rice","China",93810,94380,NA,NA
1494,2007,-84.12825,40.17,"Maize","United States of America",9300,9300,NA,NA
5029,2007,-83.42,33.88,"Maize","United States of America",600,2410,NA,NA
6331,2007,116.1834699,28.97536721,"Rice","China",61916.4,68420,NA,NA
6999,2008,120.07,32.53,"Rice","China",90810,91830,NA,NA
1613,2008,17.65,59.82,"Maize","Sweden",3300,6300,NA,NA
5030,2008,-83.42,33.88,"Maize","United States of America",2200,1990,NA,NA
2643,2008,118.522554,24.877786,"Oilcrops","China",1909.87,2246.962,34.6073113736576,211.164805513737
6912,2008,115.94,28.55,"Rice","China",82890,84900,NA,NA
7160,2009,111.7243719,23.98989504,"Rice","China",76020,77280,NA,NA
7509,2009,116.8714503,30.68054638,"Rice","China",75180,90760,NA,NA
7379,2009,120.8453606,32.57040548,"Rice","China",65640,65960,NA,NA
7778,2009,103.026075,29.962159,"Rice","China",77700,77150,NA,NA
7777,2009,104.701998,31.540641,"Rice","China",96510,93090,NA,NA
3241,2010,113.67,34.78,"Maize","China",7230.90909090909,8762.72727272727,NA,NA
4783,2010,86.0166666666667,44.4416666666667,"Upland Arable Land","China",25275,28640,3970.34003581557,7696.33679096751
2289,2010,120.366564,37.44765,"Maize","China",8908.2,8916.5,14.52533649,10.56273716
4896,2010,133.004383333333,46.523925,"Upland Arable Land","China",2075,2155,798.122797569397,516.62365412358
2249,2010,107.38493,40.74338,"Maize","China",14418.27,14907.82,47.01965006,35.3271892919985
1673,2011,114.45,34.429,"Wheat","China",8109.1,8607.2,25.43423345,22.92026308
3140,2011,48.883333,35.466667,"Vegetables","Iran",62567.4363636364,72297.1363636364,210.95695574984,242.084156335209
1617,2011,-88.44,35.54,"Maize","United States of America",7965,7876.25,NA,NA
2501,2011,113.592916,41.549454,"Tubercrop","China",32610,40642.5,465.7458516,694.641401273363
1846,2011,115.533,37.6,"Wheat","China",9787.4,11394.0211111111,92.09468985,91.3288407319648
2741,2012,123.37,48.08,"Oilcrops","China",2546.36,3391.7475,65.5307564588202,94.9683470713572
2819,2012,106.65,26.5,"Vegetables","China",19275.85,20141.85,1095.93370693669,1078.75321552244
4934,2012,102.816666666667,24.8666666666667,"Rice Paddy","China",6385,6740,2455.05600750777,1621.88162330054
3975,2012,128.096388888889,35.1497222222222,"Upland Arable Land","South Korea",4245,4808.33333333333,2804.69249651366,1997.37327507905
3118,2012,46.1,38.033333,"Vegetables","Iran",221.12,323.2,19.1495537284815,27.9899410503131
2873,2013,102.185785,30.116404,"Vegetables","China",123.011,192.793,2.01443096333614,3.48896843679308
2369,2013,125.24,43.94,"Maize","China",10574.5,10302.5,24.3859274697497,17.2668159359783
3121,2013,76.91,8.54,"Vegetables","India",19500,37180,975,1859
3028,2013,116.0166666,36.433333,"Oat","China",2460.123,2590.1295,60.2783818718021,45.7522601762213
2373,2013,113.04153,34.434343,"Maize","China",5273.45,6239.06666666667,14.8933262403587,12.8051070411644
1572,2014,9.831542,45.12435,"Maize","Italy",10530,10590,NA,NA
2695,2014,112.315163,41.446877,"Vegetables","China",977.7,1189.9875,14.32052856,19.1655096656479
3341,2014,120.55,31.5,"Wheat","China",2070,2755,NA,NA
3113,2014,118.45888,35.18972,"Maize","China",10883.2,11518.4,659.758937212676,698.357454328369
3024,2014,104.593387,35.868521,"Tubercrop","China",39289.5,41325.5,2000.55347871533,2095.46289998177
3373,2015,120.04,34.18,"Wheat","China",6780,7882.5,NA,NA
2983,2015,104.168611,26.8847222,"Vegetables","China",7773.865,8363.015,310.914877739873,248.972297655783
1631,2015,-89.804444,33.983611,"Maize","United States of America",8055,7277.5,NA,NA
3291,2015,105.45,31.27,"Wheat","China",4100,4500,NA,NA
2995,2015,120.0525,35.87923,"Wheat","China",6787.05,7520.79,646.740892046421,717.094469330924
